店名:隽恒酒店(原河海大学国际交流中心)	地区:南大/南师大，距离南艺·二师·草场门地铁站985m	价格:591
店名:宜必思尚品酒店(南京南站北广场店)	地区:南京南站/明发，距离南京南站地铁站405m	价格:460
店名:明发珍珠泉大酒店	地区:浦口区，距离南京站13.1km	价格:571
店名:南京夜泊秦淮君亭酒店·大戏院	地区:夫子庙地区，距离夫子庙地铁站215m	价格:1050
店名:南京马群亚朵酒店	地区:玄武区，距离钟灵街地铁站1.0km	价格:538
店名:南京中江书香世家酒店	地区:新街口地区，距离张府园地铁站490m	价格:653
店名:芷屿青年旅舍(天安国际店)	地区:新街口地区，距离新街口地铁站190m	价格:90
店名:桔子精选南京博物院酒店(原东华门酒店)	地区:苜蓿园，距离明故宫地铁站250m	价格:420
店名:汉庭优佳(南京仙林大学城店)	地区:栖霞区，距离仙林站3.4km	价格:215
店名:罗曼蒂克主题酒店	地区:大厂，距离葛塘地铁站1.2km	价格:138
店名:松菓民宿	地区:浦口区，距离中华门站23.4km	价格:358
店名:南京中公汇悦酒店	地区:栖霞区，距离经天路地铁站1.6km	价格:398
店名:维也纳酒店(南京南站汇景店)	地区:秦淮区，距离明发广场地铁站1.1km	价格:289
店名:和璞设计师酒店公寓(南京奥体店)	地区:建邺区，距离永初路地铁站680m	价格:238
店名:汤山私人温泉自助式LOFT酒店公寓	地区:汤山镇，距离仙林站16.5km	价格:321
店名:美豪丽致酒店(南京仙林店)	地区:仙林大学城，距离仙鹤门地铁站530m	价格:500
店名:三毛公寓(夫子庙地铁站店)	地区:夫子庙地区，距离夫子庙地铁站170m	价格:248
店名:江苏议事园酒店	地区:湖南路，距离狮子桥375m	价格:1355
店名:孜图酒店	地区:瑞金路沿线，距离明故宫地铁站925m	价格:369
店名:维也纳国际酒店(南京南站竹山路地铁站店)	地区:江宁科学园，距离竹山路地铁站590m	价格:309
店名:佩森影院精品酒店(夫子庙老门东店)	地区:秦虹村/中华门，距离中华门站260m	价格:298
店名:Zsmart智尚酒店(南京中山陵苜蓿园大街店)	地区:秦淮区，距离中华门站4.4km	价格:275
店名:南京新地酒店	地区:仙林大学城，距离仙林中心地铁站475m	价格:879
店名:南京湖南路亚朵酒店	地区:湖南路，距离狮子桥100m	价格:617
店名:全季酒店(南京河西博览中心店)	地区:建邺区，距离奥体中心地铁站960m	价格:430
店名:南京东航华美达酒店	地区:禄口机场，距离空港新城江宁地铁站575m	价格:452
店名:南京K HOTEL酒店	地区:江宁科学园，距离天印大道地铁站250m	价格:331
店名:如家商旅酒店(南京火车站北广场红山动物园地铁站店)	地区:火车站/玄武湖，距离红山动物园地铁站490m	价格:290
店名:Zsmart智尚酒店(南京夫子庙大光路店)	地区:秦淮区，距离明故宫地铁站1.8km	价格:265
店名:东方珍珠饭店	地区:珠江路沿线，距离浮桥地铁站85m	价格:549
店名:如家精选酒店(南京定淮门龙江地铁站店)	地区:鼓楼区，距离龙江地铁站860m	价格:314
